Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Virginia,US,2020-03-18T12:13:65,77,2,0,37.7693,-78.1700
Xinjiang,China,2020-03-18T12:13:66,76,3,73,41.1129,85.2401
Inner Mongolia,China,2020-03-18T12:13:66,75,1,73,44.0935,113.9448
Ningxia,China,2020-03-18T12:13:67,75,0,75,37.2692,106.1655
,Vietnam,2020-03-18T12:13:67,75,0,16,14.0583,108.2772
,Algeria,2020-03-18T12:13:68,74,7,12,28.0339,1.6596
,Latvia,2020-03-18T12:13:68,71,0,1,56.8796,24.6032
North Carolina,US,2020-03-18T12:13:69,70,0,0,35.6301,-79.8064
,Brunei,2020-03-18T12:13:69,68,0,0,4.5353,114.7277
Connecticut,US,2020-03-18T12:13:70,68,0,0,41.5978,-72.7554
Oregon,US,2020-03-18T12:13:70,68,2,0,44.5720,-122.0709
,Albania,2020-03-18T12:13:71,59,2,0,41.1533,20.1683
Faroe Islands,Denmark,2020-03-18T12:13:71,58,0,0,61.8926,-6.9118
,Hungary,2020-03-18T12:13:72,58,1,2,47.1625,19.5033
Nevada,US,2020-03-18T12:13:72,55,1,0,38.3135,-117.0554
,Jordan,2020-03-18T12:13:73,52,0,1,30.5852,36.2384
,Belarus,2020-03-18T12:13:73,51,0,5,53.7098,27.9534
,Sri Lanka,2020-03-18T12:13:74,51,0,1,7.8731,80.7718
Utah,US,2020-03-18T12:13:74,51,0,0,40.1500,-111.8624
,Costa Rica,2020-03-18T12:13:75,50,0,0,9.7489,-83.7534
,Uruguay,2020-03-18T12:13:75,50,0,0,-32.5228,-55.7658
,Cyprus,2020-03-18T12:13:76,49,0,0,35.1264,33.4299
,Morocco,2020-03-18T12:13:76,49,2,1,31.7917,-7.0926
Diamond Princess,US,2020-03-18T12:13:77,47,0,0,35.4437,139.6380
South Carolina,US,2020-03-18T12:13:77,47,1,0,33.8569,-80.9450
Alabama,US,2020-03-18T12:13:78,46,0,0,32.3182,-86.9023
Maine,US,2020-03-18T12:13:78,42,0,0,44.6939,-69.3819
,Andorra,2020-03-18T12:13:79,39,0,1,42.5063,1.5218
,Oman,2020-03-18T12:13:79,39,0,12,21.4735,55.9754
Indiana,US,2020-03-18T12:13:80,39,2,0,39.8494,-86.2583
,Bosnia and Herzegovina,2020-03-18T12:13:80,38,0,2,43.9159,17.6791
,Georgia,2020-03-18T12:13:81,38,0,1,42.3154,43.3569
,Malta,2020-03-18T12:13:81,38,0,2,35.9375,14.3754
South Australia,Australia,2020-03-18T12:13:82,37,0,3,-34.9285,138.6007
,Venezuela,2020-03-18T12:13:82,36,0,0,6.4238,-66.5897
Western Australia,Australia,2020-03-18T12:13:83,35,1,0,-31.9505,115.8605
,Cambodia,2020-03-18T12:13:83,35,0,1,12.5657,104.9910
,Kazakhstan,2020-03-18T12:13:84,35,0,0,48.0196,66.9237
,North Macedonia,2020-03-18T12:13:84,35,0,1,41.6086,21.7453
Mississippi,US,2020-03-18T12:13:85,34,0,0,32.7416,-89.6787
Arkansas,US,2020-03-18T12:13:85,33,0,0,34.9697,-92.3731
Rhode Island,US,2020-03-18T12:13:86,33,0,0,41.6809,-71.5118
,Senegal,2020-03-18T12:13:86,31,0,2,14.4974,-14.4524
District of Columbia,US,2020-03-18T12:13:87,31,0,0,38.8974,-77.0268
,Moldova,2020-03-18T12:13:87,30,1,1,47.4116,28.3699
,Tunisia,2020-03-18T12:13:88,29,0,0,33.8869,9.5375
Iowa,US,2020-03-18T12:13:88,29,0,0,42.0115,-93.2105
,Azerbaijan,2020-03-18T12:13:89,28,1,6,40.1431,47.5769
,Liechtenstein,2020-03-18T12:13:89,28,0,0,47.1660,9.5554
,Guadeloupe,2020-03-18T12:13:90,27,0,0,16.2650,-61.5510
,Lithuania,2020-03-18T12:13:90,27,0,1,55.1694,23.8813
Arizona,US,2020-03-18T12:13:91,27,0,0,33.7298,-111.4312
Kentucky,US,2020-03-18T12:13:91,27,1,0,37.6681,-84.6701
New Hampshire,US,2020-03-18T12:13:92,26,0,0,43.4525,-71.5639
Nebraska,US,2020-03-18T12:13:92,24,0,0,41.1254,-98.2681
New Mexico,US,2020-03-18T12:13:93,23,0,0,34.8405,-106.2485
,Afghanistan,2020-03-18T12:13:93,22,0,1,33.9391,67.7100
,Dominican Republic,2020-03-18T12:13:94,21,1,0,18.7357,-70.1627
Grand Princess,US,2020-03-18T12:13:94,21,0,0,37.6489,-122.6655
,Burkina Faso,2020-03-18T12:13:95,20,1,0,12.2383,-1.5616
,New Zealand,2020-03-18T12:13:95,20,0,0,-40.9006,174.8860
,Martinique,2020-03-18T12:13:96,19,1,0,14.6415,-61.0242
Delaware,US,2020-03-18T12:13:96,19,0,0,39.3185,-75.5071
Oklahoma,US,2020-03-18T12:13:97,19,0,0,35.5653,-96.9289
Qinghai,China,2020-03-18T12:13:97,18,0,18,35.7452,95.9956
Kansas,US,2020-03-18T12:13:98,18,1,0,38.5266,-96.7265
Missouri,US,2020-03-18T12:13:98,18,0,0,38.4561,-92.2884
Vermont,US,2020-03-18T12:13:99,18,0,0,44.0459,-72.7107
Manitoba,Canada,2020-03-18T12:13:99,15,0,0,53.7609,-98.8139
Macau,China,2020-03-18T12:13:100,15,0,10,22.1667,113.5500
Wyoming,US,2020-03-18T12:13:100,15,0,0,42.7560,-107.3025
,Uzbekistan,2020-03-18T12:13:101,15,0,0,41.3775,64.5853
,Bangladesh,2020-03-18T12:13:101,14,1,3,23.6850,90.3563
Hawaii,US,2020-03-18T12:13:102,14,0,0,21.0943,-157.4983
,Ukraine,2020-03-18T12:13:102,14,2,0,48.3794,31.1656
,Jamaica,2020-03-18T12:13:103,13,0,2,18.1096,-77.2975
,Maldives,2020-03-18T12:13:103,13,0,0,3.2028,73.2207
,Bolivia,2020-03-18T12:13:104,12,0,0,-16.2902,-63.5887
Nova Scotia,Canada,2020-03-18T12:13:104,12,0,0,44.6820,-63.7443
,Reunion,2020-03-18T12:13:105,12,0,0,-21.1151,55.5364
New Brunswick,Canada,2020-03-18T12:13:105,11,0,0,46.5653,-66.4619
,French Guiana,2020-03-18T12:13:106,11,0,0,3.9339,-53.1258
,Paraguay,2020-03-18T12:13:106,11,0,0,-23.4425,-58.4438
Montana,US,2020-03-18T12:13:107,11,0,0,46.9219,-110.4544
South Dakota,US,2020-03-18T12:13:107,11,1,0,44.2998,-99.4388
Tasmania,Australia,2020-03-18T12:13:108,10,0,0,-41.4545,145.9707
,Cameroon,2020-03-18T12:13:108,10,0,0,3.8480,11.5021
Grand Princess,Canada,2020-03-18T12:13:109,9,0,0,37.6489,-122.6655
,Honduras,2020-03-18T12:13:109,9,0,0,15.2000,-86.2419
Idaho,US,2020-03-18T12:13:110,9,0,0,44.2405,-114.4788
Saskatchewan,Canada,2020-03-18T12:13:110,8,0,0,52.9399,-106.4509
,Nigeria,2020-03-18T12:13:111,8,0,1,9.0820,8.6753
,Rwanda,2020-03-18T12:13:111,8,0,0,-1.9403,29.8739
Gibraltar,United Kingdom,2020-03-18T12:13:112,8,0,2,36.1408,-5.3536
,Cuba,2020-03-18T12:13:112,7,1,0,21.5218,-77.7812
,Ghana,2020-03-18T12:13:113,7,0,0,7.9465,-1.0232
,Guyana,2020-03-18T12:13:113,7,1,0,4.8604,-58.9302
,Monaco,2020-03-18T12:13:114,7,0,0,43.7384,7.4246
,Trinidad and Tobago,2020-03-18T12:13:114,7,0,0,10.6918,-61.2225
,Cote d'Ivoire,2020-03-18T12:13:115,6,0,1,7.5400,-5.5471
,Ethiopia,2020-03-18T12:13:115,6,0,0,9.1450,40.4897
,Guatemala,2020-03-18T12:13:116,6,1,0,15.7835,-90.2308
,Mongolia,2020-03-18T12:13:116,6,0,0,46.8625,103.8467
Alaska,US,2020-03-18T12:13:117,6,0,0,61.3707,-152.4044
North Dakota,US,2020-03-18T12:13:117,6,0,0,47.5289,-99.7840
Channel Islands,United Kingdom,2020-03-18T12:13:118,6,0,0,49.3723,-2.3644
Guam,US,2020-03-18T12:13:118,5,0,0,13.4443,144.7937
Puerto Rico,US,2020-03-18T12:13:119,5,0,0,18.2208,-66.5901
,Aruba,2020-03-18T12:13:119,4,0,0,12.5211,-69.9683
,Congo (Kinshasa),2020-03-18T12:13:120,4,0,0,-4.0383,21.7587
,Equatorial Guinea,2020-03-18T12:13:120,4,0,0,1.6508,10.2679
,Seychelles,2020-03-18T12:13:121,4,0,0,-4.6796,55.4920
Australian Capital Territory,Australia,2020-03-18T12:13:121,3,0,0,-35.4735,149.0124
Newfoundland and Labrador,Canada,2020-03-18T12:13:122,3,0,0,53.1355,-57.6604
French Polynesia,France,2020-03-18T12:13:122,3,0,0,-17.6797,-149.4068
Saint Barthelemy,France,2020-03-18T12:13:123,3,0,0,17.9000,-62.8333
St Martin,France,2020-03-18T12:13:123,3,0,0,18.0708,-63.0501
,Kenya,2020-03-18T12:13:124,3,0,0,-0.0236,37.9062
,Kyrgyzstan,2020-03-18T12:13:124,3,0,0,41.2044,74.7661
,Mauritius,2020-03-18T12:13:125,3,0,0,-20.2000,57.5000
,Mayotte,2020-03-18T12:13:125,3,0,0,-12.8275,45.1662
Curacao,Netherlands,2020-03-18T12:13:126,3,0,0,12.1696,-68.9900
,Tanzania,2020-03-18T12:13:126,3,0,0,-6.3690,34.8888
,Barbados,2020-03-18T12:13:127,2,0,0,13.1939,-59.5432
,Benin,2020-03-18T12:13:127,2,0,0,9.3077,2.3158
,Kosovo,2020-03-18T12:13:128,2,0,0,42.6026,20.9030
,Liberia,2020-03-18T12:13:128,2,0,0,6.4281,-9.4295
,Namibia,2020-03-18T12:13:129,2,0,0,-22.9576,18.4904
Aruba,Netherlands,2020-03-18T12:13:129,2,0,0,12.5186,-70.0358
